nombre,descripcion,duracion_minutos,nivel,capacidad_maxima,estado
Require Idea,Foreign good thing pay paper political case.,153,Avanzado,36,0
Activity Several,Mrs blood price give professor name citizen like authority hand address.,132,Intermedio,16,1
Into Thousand,Yeah risk power including TV institution friend.,103,Avanzado,15,1
Start Chair,Could cold huge such wall available while pressure trip security teach.,178,Avanzado,26,0
Push Growth,Green whose enter decide establish would allow.,132,Principiante,12,1
Drug Realize,Fight small own near we industry nothing their.,105,Principiante,37,1
Identify Area,Receive back decide sit style production statement hold party read use.,82,Principiante,48,1
Everyone Reflect,Include respond moment face how rest situation either during audience first.,122,Principiante,30,0
Civil Major,Least tough month method bank skill religious road theory tax method lose.,98,Avanzado,27,0
Anything Outside,Break arm help source evening hold tough city act.,147,Principiante,22,1
Pressure Enough,Ever allow human forget reduce spend light important practice year stage.,111,Intermedio,23,1
Education According,Market break bad likely factor event fire.,54,Avanzado,45,0
Thing Member,North light sign everybody travel may left arrive miss.,44,Intermedio,28,0
Fill Teach,Entire well hundred ability subject hand pattern choice song.,143,Intermedio,39,0
Sense Inside,Lay their ever relationship sure over clearly clearly quite suddenly reveal me rather.,144,Principiante,21,1
Candidate Vote,Author off admit politics each size land material she foreign foot product.,53,Intermedio,21,0
Argue Cell,Fly exist hundred those operation machine something Republican compare debate produce like.,39,Avanzado,12,1
Send Benefit,Seem away over again bill you knowledge serious.,136,Intermedio,34,0
Dinner Baby,Thus whole Republican professional coach officer boy know attention day future off soldier.,127,Intermedio,29,0
Responsibility Building,Student Congress oil should color board still evidence center world five player resource meeting.,88,Principiante,35,0
Evening Professional,History kitchen happen receive contain take never ahead job begin cold the list.,155,Avanzado,24,0
Piece Especially,Consider town gas rather agree up serve nearly black or know part compare weight south.,118,Avanzado,32,1
Role Drop,Attorney yeah along perform sell talk effect see able.,157,Avanzado,15,1
Young Effect,Least news I when plan wish learn rock development.,118,Avanzado,43,1
Try Recognize,Cut television environment result different budget maybe table can section yes raise.,92,Avanzado,24,0
Beautiful Style,Great middle Democrat shoulder recognize opportunity of worker.,129,Intermedio,17,0
Create Program,Front author century indeed magazine impact station commercial play explain you south position ground.,42,Principiante,14,0
By Second,Issue send decide others fund herself half point set those pass around energy finish.,43,Avanzado,30,0
Evidence Level,Rather through population perhaps wide join morning keep wait increase series section guy now.,100,Intermedio,39,0
Nature Worker,Establish reveal against hospital either difficult wife financial chair rest factor actually build see.,47,Avanzado,43,1
War Decade,Century through process fund agree other threat within need.,109,Principiante,28,1
Score Magazine,Owner believe garden instead bring score debate its pretty.,155,Avanzado,41,0
Well Data,Coach throughout cup give represent among mean into.,82,Avanzado,18,1
Bed Interest,Just early television top cultural such someone final move up especially education.,165,Avanzado,23,1
Situation Set,To baby take with strategy over staff red.,146,Avanzado,42,1
Rest Challenge,Environmental game back explain month better job either call customer.,157,Intermedio,50,1
Career Time,War oil employee walk alone song station.,146,Principiante,24,0
Wife Case,Federal citizen participant modern place current who whatever relationship.,138,Principiante,38,0
Pm Bring,Your state institution thousand win be just father total say herself resource also individual.,144,Avanzado,44,1
East Address,Rather thought what one light people character water crime member send.,180,Intermedio,50,0
Claim Society,Age outside professional fall power lay vote rest language book story character you professor.,79,Principiante,28,0
Lay News,Glass cell claim government avoid late present since happen eat significant.,161,Intermedio,17,0
Operation Cultural,Threat him nor effort first worker suffer.,108,Avanzado,32,0
Charge Add,Rather however knowledge level piece raise summer according major away visit.,30,Intermedio,14,0
Himself Everybody,Matter its more effect meet card moment time year.,120,Intermedio,20,0
Movie Back,Per heavy group training lot fine security spring cause kid yes culture ability surface.,95,Avanzado,50,1
College Next,Effect news factor our blood bank well democratic security big two sure air outside which.,140,Avanzado,24,0
Administration Under,President trial issue community rate hold in happy experience poor.,165,Avanzado,16,1
Wait Act,Treat walk bag event two direction material buy practice most dog.,100,Principiante,43,0
Answer Certain,Resource hold everything money particular house both lawyer commercial thought this boy above fly.,131,Principiante,42,0
Bit Mission,Trouble ball test pull against reality movement impact sit send daughter including like.,113,Avanzado,15,1
Seat Economic,Mother way special Mrs surface record help economy amount hand occur loss sister speech view.,38,Avanzado,38,0
Eat Forget,Lawyer week so change local suddenly difference though these would always claim.,115,Principiante,21,1
Everyone Front,Since high loss organization heavy wish range mean.,80,Intermedio,50,0
Television Federal,Teach one company project people age game sit state it identify out past her age way.,120,Intermedio,33,1
Detail Poor,Responsibility beat his it large suggest enough ten understand risk kid house mission choose father.,69,Intermedio,29,1
Card Beat,Sign great store offer capital low age system just Mr kid pick decade away for.,83,Intermedio,39,0
Per Large,Also cause property summer election outside serve you respond well store.,86,Principiante,30,0
Hard Head,Term ago coach million see want small thousand cup civil age win simply.,83,Intermedio,16,0
Anything Fund,Company president same data Congress great cold former.,176,Intermedio,29,1
Film Right,Conference dog scientist also still three card executive water argue spring beautiful memory live reach.,77,Avanzado,39,1
Parent Same,Never product indicate protect religious simply every suffer reach clearly prove should feeling door small.,104,Intermedio,29,0
Option Go,Step together person perform forward exist consumer nearly.,64,Intermedio,42,0
Head Mean,Late part here bag be turn board guy sing high race.,142,Principiante,45,1
Trade Second,Ball impact discover walk last production room while nearly know how view.,59,Principiante,43,0
Position Message,Suddenly player food run meet very her from out.,31,Intermedio,39,0
Mrs Any,Tv him amount last charge simple left knowledge room event source meeting able oil culture treat.,151,Principiante,40,0
Could Leader,Wall clear each huge because none movement hold work president fast new arrive lot.,72,Principiante,31,0
Chance Despite,Blue social one enter family what thus.,84,Principiante,39,0
Left Cover,Century at nice his good purpose already.,135,Principiante,22,0
Management Way,Important parent specific discuss little yes century.,30,Intermedio,49,0
Lay Fall,Mission quickly rule keep campaign they major.,83,Principiante,32,1
Seven Deep,Yourself action ability group writer down white miss seven notice opportunity.,89,Avanzado,24,0
Wife Heart,Course middle tell give Mrs true ten white firm little various plant heavy.,105,Intermedio,45,1
Ball Smile,Good into hundred pull discussion seek size consider fire our campaign step.,116,Principiante,21,1
Fight Place,Ten edge prove west although time send recently cultural push wide dream travel discussion.,109,Intermedio,16,0
Table Including,Worry believe figure far late reason no alone land else idea dream suddenly movie.,114,Avanzado,43,1
Follow Floor,Try right hold government experience reveal city language city interesting fear off.,148,Avanzado,21,0
Difficult Similar,Ball national all turn become city marriage.,178,Avanzado,38,1
Act Develop,Book win effect number black word vote color show exactly.,121,Avanzado,39,0
Discussion Spring,Over work at character a claim late resource alone generation set technology such likely.,146,Avanzado,46,1
Training Participant,Exactly need thing his impact might major focus whose environmental no recent black join prove.,71,Principiante,47,0
Threat Available,Month nice audience out party charge teacher themselves.,53,Avanzado,18,1
Just Near,Another matter blood too month entire finally together hit always human happen prove interesting voice.,99,Principiante,41,0
Writer Tend,Lay treatment sit candidate next short health professor join way research house fast.,89,Intermedio,32,1
Sea Herself,Pay half ahead test now law serious reveal design sure fact third serve next like.,65,Avanzado,33,0
Today Southern,Dream talk argue say represent catch military item hear.,142,Intermedio,33,0
Interview Great,Data memory team reality hair military sell fine into design professional budget two yard think attention.,99,Intermedio,22,0
Level Father,Born ball recent describe happen wife expect city her.,56,Intermedio,48,0
Action Learn,Along minute white Republican former campaign population card reach defense season at.,139,Intermedio,27,1
Government There,Laugh example spend whom week where detail against collection mouth for effect case generation really west.,53,Principiante,25,0
Color Son,Meet bank owner remember look financial travel wear society card economic.,125,Intermedio,22,0
Do Hard,Into condition because require lose food loss catch since thing decide build teacher.,38,Principiante,29,1
Be Tax,Administration test fact interview community almost security already school now room else boy teacher decision.,76,Avanzado,17,1
Language Government,Student baby law heavy amount lose dinner body ground.,105,Intermedio,21,0
Likely Laugh,Move shake boy head though late production sense fear morning.,171,Intermedio,47,1
True Former,Garden recognize tax suggest board where until ten produce clearly company where reason condition single.,174,Principiante,41,0
Kind Artist,Institution act yeah development nice character into also movie past wife.,115,Intermedio,12,0
Environment Be,Current conference about head world option election than student room race present cold.,71,Principiante,24,1
They Marriage,Feel research recently improve democratic school probably live quality candidate identify base TV against ground check.,90,Avanzado,21,0
Structure Something,Event until security be customer song culture care card its push company real light answer.,116,Avanzado,50,0
Find Not,Police both interest prove maybe action always.,100,Intermedio,22,0
Source Budget,Human fight during former hospital police although nature you best respond effect customer.,71,Avanzado,20,0
My Very,Health management wide which mission morning child simple approach red region be beat kind popular.,85,Intermedio,29,1
Candidate Sometimes,His opportunity realize half help build from what successful.,179,Principiante,30,0
Particularly Term,As case guess marriage if radio manager often realize none movement.,173,Intermedio,42,0
Somebody Say,Left table may wide within not plan at oil.,65,Avanzado,33,1
Still Civil,Goal meeting focus lead compare open nor.,45,Principiante,17,0
Air Try,Adult commercial wind third news strategy first soldier positive himself current stage positive although argue.,114,Principiante,14,1
It Left,Including road prove finally friend table one more including discover audience case bring wrong audience.,67,Intermedio,38,0
Painting Drug,Part cell represent he each until whose spend back picture too pass carry dog population.,62,Avanzado,32,1
Just Strategy,Question like morning account cut military upon authority interview particular.,45,Principiante,17,0
Congress Often,Part able Mrs cup gun reason everything different standard account green.,161,Principiante,11,1
Under Country,Individual involve city until school reach agency back reduce help purpose.,155,Intermedio,39,0
Cut Here,Fly provide either power step travel everyone thank region sell member return war line.,111,Avanzado,12,0
Leave Institution,Speech work last case show allow question point happy professor among station pretty.,46,Principiante,29,1
Page Peace,In several including plant anything course short to finish middle check something.,139,Principiante,40,1
On Wife,Agreement everything create speech which next administration a.,64,Principiante,32,0
Spend Society,Clearly bag recent almost relationship morning western.,140,Avanzado,31,0
Method Pull,Especially region year this hair arrive meet too fight forward why wrong lawyer high employee.,76,Avanzado,48,0
Clear Professional,Serve room you these project away today small itself worry easy must source gas consumer own.,108,Principiante,12,1
Friend Form,Join home nothing safe opportunity about figure run life from pull window team on instead.,155,Avanzado,46,0
Rise Never,Data best child tonight save decide both help myself smile something.,168,Intermedio,25,0
Number Local,Specific hold cold seat purpose employee then shoulder.,70,Intermedio,32,1
Out Section,Cover money road individual watch news think often however note low walk reduce young one.,143,Principiante,35,0
Strategy Stage,Away difficult religious pretty smile black record early finish but free daughter girl program exactly.,62,Principiante,44,1
Position Structure,Order trade star fast show same matter appear tax grow human.,163,Intermedio,31,1
Want Section,Reflect mission big himself young science thank performance capital let two almost tough enter beat herself.,167,Intermedio,23,1
Career Carry,Discuss have yeah five trade as suffer late seven read week trade indicate computer.,148,Avanzado,37,0
Treatment Sport,You along candidate better deep consumer social source tend.,149,Avanzado,45,1
Course Main,Health population heavy officer way book huge vote interest step particularly out southern would us.,165,Principiante,10,0
Sport Itself,Give economic rate similar rock light lose short.,105,Principiante,23,1
Moment Lose,Debate wear hit thank fast quite like.,141,Intermedio,20,0
Huge Market,Nature serious give up attorney local save art usually set field surface little.,89,Intermedio,35,0
Nice Top,East image see partner letter call total a there with party shake agree information book where.,177,Intermedio,42,0
Hard Him,We free much simple edge else forget that there who agent hold product common usually recently.,120,Avanzado,41,1
Series Current,Time beat upon song traditional interesting learn voice foot.,152,Avanzado,42,0
What Ball,Herself change situation consider body theory note whether.,163,Avanzado,48,1
Table Report,Parent develop positive avoid evidence up this yet part throw ball start computer seven.,134,Avanzado,41,0
Your Environment,Trade themselves can rest reach however fight professional relate decide friend top mean plan trip.,68,Intermedio,15,0
Whom Suggest,Kid who commercial radio same call author sense direction where option look significant.,117,Principiante,35,1
Way Discuss,Crime after theory difficult media item especially magazine.,52,Avanzado,23,1
Find Painting,Suddenly degree decision art try hotel mouth movie pick example value.,89,Principiante,19,1
Blood Second,Hot central long mean receive special vote population maybe word.,149,Principiante,47,0
Politics Rather,Contain fear organization he friend career something imagine after actually teach end.,40,Avanzado,27,1
According Appear,Describe peace everybody mouth standard material manager pull end ten shake toward face.,150,Intermedio,46,0
Environmental Its,Environment tax continue never may during word get.,150,Principiante,12,1
Institution Center,Market up behind its down item south news at lawyer.,70,Avanzado,48,0
Again Film,Social particular high check perform reveal source should respond performance stop shoulder left.,106,Principiante,10,1
Discussion Middle,Apply size opportunity choice contain economic impact detail agency interview white town enter respond.,102,Principiante,19,1
Speech Break,Better real practice century direction we team light few child black tell not.,49,Principiante,10,1
Season Catch,Base ago operation west campaign building worry type quality organization well tree local.,141,Avanzado,24,0
Under Population,Series watch building energy investment leader green.,121,Intermedio,37,1
In Style,Sign think because cut data how later fall major pressure food.,120,Principiante,30,0
Pretty Model,Kind democratic phone already today total thing.,110,Avanzado,31,0
Seem Author,Avoid work apply firm total professor actually election.,138,Intermedio,48,1
Send Leave,Together number heart threat present month dinner majority fly page.,44,Principiante,27,0
Cut Right,Group discuss central buy draw economic during seem condition team impact son heavy surface same medical.,104,Principiante,43,0
Successful Hour,With out style some debate positive production during series camera political role law term drive.,90,Avanzado,38,0
Few Positive,Nothing pick care out bill someone seek score order box today plan power might green political.,127,Avanzado,11,0
Phone Charge,Fast way so scene nearly individual per hot you statement month.,94,Intermedio,32,1
Tonight Purpose,Whole than argue when last event sing a other subject build number travel once avoid travel.,179,Intermedio,12,0
Subject Weight,Successful last get stop voice war front of detail.,128,Principiante,29,1
Nearly Face,Summer must stop national give imagine fine.,119,Avanzado,41,0
Professor Interview,Color movie teacher story cut report indicate bit see well safe your song.,176,Principiante,47,1
Land Deal,Possible international product system west often environmental serious even never peace fire leg health.,134,Avanzado,23,1
Long Minute,Thought her beat sign road one weight well nearly high mouth open exist space across.,74,Avanzado,10,1
Remember Top,Deep at might certainly design management of card military moment health responsibility window technology.,65,Avanzado,25,1
Put Reach,East ability strong safe reveal teacher research economic this crime sport song truth.,94,Intermedio,19,0
Goal Look,Almost those method hair entire value best sign red high.,53,Intermedio,47,1
Budget Name,Art condition Congress there main cover customer could fire compare task main.,111,Avanzado,20,0
Answer Machine,Fund story party term step exist herself list turn keep close wide notice training serve.,59,Intermedio,47,0
Mrs Out,Pm likely bill serious church happen should any natural population certain hospital training decision worker direction.,103,Intermedio,39,1
Mrs Leader,Relationship poor expert same behind nothing anything interview growth century rest reveal.,97,Intermedio,20,1
Individual Stuff,New consider action gun party return together opportunity computer charge.,135,Intermedio,36,0
Analysis Chair,Parent then identify tree lay candidate peace each simple source oil six cup.,112,Avanzado,25,1
Behind May,College so beat less state country culture part probably television friend behind huge rock enter lead.,144,Principiante,28,0
Front Fight,Occur fish type parent picture result it picture market.,75,Intermedio,17,1
Person Idea,More meeting thought under boy upon test record front painting Congress another in enter understand result.,128,Avanzado,10,0
Indeed Would,Administration which large field wall thank company arrive five.,86,Avanzado,39,1
Chance Drug,Impact idea number stock north economic trip true leader year head senior person here partner.,154,Intermedio,47,1
Court Meeting,Some start people born adult own positive pass learn.,99,Principiante,37,0
Analysis Arrive,Wrong bit side series really all front bad guess next during yourself staff training under.,134,Principiante,33,0
Standard Knowledge,Civil specific drop example fight according she entire and eight listen.,59,Avanzado,17,0
Network Billion,Herself room writer establish low response road including sign and letter recently camera.,108,Avanzado,25,1
Back Put,Deep agent compare author run test bed quickly sit skill church yourself like heavy lay.,117,Intermedio,38,1
Night Wall,Civil century number start cold woman understand board huge per manage those official.,76,Intermedio,26,1
National Audience,Skin security skin onto fill performance keep mother right.,177,Avanzado,38,0
Vote Provide,Difficult natural number agreement experience project call according since everyone.,117,Principiante,39,0
Somebody Husband,Gas parent history over other build morning professor method its enjoy usually.,134,Principiante,24,1
Term Relationship,Dark degree hair guess authority themselves board return society director.,112,Intermedio,37,1
Never Past,We middle page radio stuff defense successful.,39,Avanzado,18,0
Remain New,Feel allow enough against likely paper performance main population thus argue shake itself manager above.,78,Intermedio,43,1
Service Rich,Seven product example issue add instead some couple specific.,117,Intermedio,34,0
Always Recent,Claim support west use simply unit role those.,53,Intermedio,37,1
Job Approach,Ground culture about night week wrong item attention player indeed material father space head.,131,Avanzado,47,1
Act Do,Make agency almost director avoid spring whose magazine into sound.,157,Avanzado,12,0
Into One,Of system why six attorney pull knowledge central fish rise responsibility middle.,76,Avanzado,44,1
Thought Still,Hold sure wide half without too body these year imagine approach talk deep baby begin.,167,Avanzado,12,0
Hospital Democrat,Buy market type record because generation almost west military section fly including civil science language TV.,68,Intermedio,26,1
Usually Operation,Sort bar bag benefit sport hear group note game drop Congress age mention or.,142,Intermedio,23,1
Federal Machine,Marriage enter someone story cost field project.,157,Avanzado,37,1
Plan Member,Save just his ever send line draw thousand middle where view sea.,118,Principiante,21,1
Everyone Father,New popular door street marriage however hotel discuss large still allow.,180,Intermedio,31,1
Service Although,Ball prepare clearly yourself ever seem last consider process article office if.,175,Principiante,29,0
Man Else,Customer woman right everything strategy fill fund whole weight.,142,Principiante,34,1
Nature Threat,Account decide physical threat fund image who rule reason.,148,Avanzado,13,0
Financial Brother,Visit toward ability there finish member push between building the scientist cold month eat teacher.,124,Principiante,28,0
Threat Also,Son lot soldier question industry course lose manage.,149,Principiante,28,0
Student Group,Machine pick just senior commercial night city we accept smile her bag her.,43,Intermedio,15,0
From Central,Their air thus hot score method maintain product amount require bill today coach perhaps computer among.,68,Intermedio,39,0
Here Energy,Some oil design fly share anything memory people today.,135,Avanzado,40,1
There Prepare,Sell daughter far important town rule pattern trial save in relationship serious company use.,158,Principiante,14,0
Than Meet,Bank pull capital customer mention myself modern.,118,Avanzado,50,0
Why Skin,Argue condition approach be particular else loss work more environment entire remain.,62,Intermedio,50,0
Many Personal,War send here mean move fill indeed ball discussion TV accept.,128,Avanzado,33,1
Office Need,You community interesting state father low state full federal hold option former now manage remember.,153,Intermedio,25,0
Keep Young,Follow often staff front tend me some us garden position buy take.,76,Principiante,24,0
Under Avoid,Young save evidence court together media kind case skin adult many community.,122,Avanzado,41,1
Reality Road,Affect art manager traditional hospital which side soldier yeah occur travel girl information.,61,Avanzado,44,0
Could Congress,Between in indicate respond this body product represent someone enough store fish.,79,Intermedio,42,0
Project Tend,Sell assume professional week action PM study sort community remember white.,140,Principiante,48,0
Wife Claim,Expert hear week continue here everyone security hear wide plan both debate better parent.,111,Intermedio,26,1
Fact Start,Wall become there special job determine institution out industry public gas live throw you account born.,123,Principiante,30,1
Business Choose,Visit also hotel visit purpose read building building eat discussion.,33,Intermedio,15,1
Society Factor,Type garden drop size series society enough join finally fly change.,146,Principiante,46,0
What Weight,Strategy color project lot art on remain there media image professor.,157,Intermedio,47,0
Listen Strong,Strategy truth movement later decade majority suddenly what fire.,33,Intermedio,19,1
Animal First,Major room figure message evidence break in name half though mention director happy hard.,120,Principiante,21,0
Cost Lead,Benefit paper space attorney system system what hospital down from thought commercial interest.,165,Principiante,20,0
Difference Exist,Picture bring statement a soon among begin.,39,Intermedio,19,1
Rise International,Very good southern maybe whatever agreement question way.,51,Intermedio,13,1
Over Loss,Walk quite ahead you painting although kind teacher debate decade above her.,74,Avanzado,22,1
Strong Write,Could spend break bar strong party road item try.,139,Intermedio,30,0
Red Full,Term family property tonight free together rate every whatever work claim book.,55,Principiante,18,1
Task Onto,Answer scene for beyond admit security camera best cut.,122,Avanzado,16,1
Street Debate,Crime product dog return pass up meeting threat poor spend kid.,130,Avanzado,15,1
Right Paper,Music provide organization upon store security book.,75,Principiante,38,1
Voice Interest,Forget night task success head north within field our.,73,Principiante,38,0
Season Over,Positive quickly much brother lawyer perhaps already style near.,49,Principiante,28,0
Modern Across,First claim serious color soldier suddenly his politics should should performance until collection door.,153,Principiante,24,0
Trouble Trouble,As ever beyond political environment hair rich kid charge year.,151,Intermedio,19,0
White Lawyer,Grow expect station actually interesting account Congress wait power little professional defense moment participant.,94,Avanzado,32,1
Only Miss,Seek kind subject five effect whether decision thousand available.,176,Avanzado,16,0
Soon Specific,Newspaper idea compare tax light finish computer activity century system never action.,113,Intermedio,30,0
Manage Look,Out law everything time industry from author reduce.,90,Principiante,37,1
Firm Similar,Value important near fast miss factor world daughter protect vote hour father.,52,Principiante,16,0
Under President,Ground picture deep very enjoy several process wind enough yard son thus begin final when.,112,Intermedio,47,0
